"uuid","Fcilty_nam","Shp_num_an","Shp_centre","Street_add","Locality","Postcode","Country","Telephone","Web_address","Display_wd","Ycoord","Xcoord","result"\n
"2","Digio","26 Westclare Court, Coalisland","","Dungannon","Tyrone","BT71 5BF","United Kingdom","7475637891","<a href='https://do.com' target='_blank'>Visit Website</a>","1.5","54.5533508","-6.6485863","999"\n
"3","Cornell Design","12 Armagh Road","Portadown","","Armagh","BT62 3DP","United Kingdom","02838339100","<a href='https://cornellstudios.com' target='_blank'>Visit Website</a>","1.5","54.4165707","-6.4523165","999"\n
